group,count,eff_samples,top_model_agree,top_model_const_AVG,top_const_vit_b_16,top_const_vit_b_32,top_const_inception_v3,top_const_resnet50,top_const_resnet101,top_const_alexnet,top_const_vgg16,top_const_vgg19,top_outlier_vit_b_16,top_outlier_vit_b_32,top_outlier_inception_v3,top_outlier_resnet50,top_outlier_resnet101,top_outlier_alexnet,top_outlier_vgg16,top_outlier_vgg19,top_ens_const,mid_model_agree,mid_model_const_AVG,mid_const_vit_b_16,mid_const_vit_b_32,mid_const_inception_v3,mid_const_resnet50,mid_const_resnet101,mid_const_alexnet,mid_const_vgg16,mid_const_vgg19,mid_outlier_vit_b_16,mid_outlier_vit_b_32,mid_outlier_inception_v3,mid_outlier_resnet50,mid_outlier_resnet101,mid_outlier_alexnet,mid_outlier_vgg16,mid_outlier_vgg19,mid_ens_const,bot_model_agree,bot_model_const_AVG,bot_const_vit_b_16,bot_const_vit_b_32,bot_const_inception_v3,bot_const_resnet50,bot_const_resnet101,bot_const_alexnet,bot_const_vgg16,bot_const_vgg19,bot_outlier_vit_b_16,bot_outlier_vit_b_32,bot_outlier_inception_v3,bot_outlier_resnet50,bot_outlier_resnet101,bot_outlier_alexnet,bot_outlier_vgg16,bot_outlier_vgg19,bot_ens_const,top_labels,mid_labels,bot_labels
1,3135,3135.00,0.2058,0.6080,0.6555,0.6709,0.5243,0.6242,0.5627,0.6002,0.6087,0.6174,0.1890,0.2499,0.1732,0.1269,0.2511,0.3210,0.2606,0.2113,0.6476,0.0704,0.3494,0.2587,0.5336,0.1114,0.0455,0.3588,0.5411,0.4296,0.5169,0.1890,0.2499,0.1732,0.1269,0.2511,0.3210,0.2606,0.2113,0.2684,0.0319,0.5246,0.5181,0.3973,0.4251,0.5860,0.4295,0.6626,0.5823,0.5955,0.1890,0.2499,0.1732,0.1269,0.2511,0.3210,0.2606,0.2113,0.4646,spotlight (0.0594); hook (0.0487); pitcher (0.0427); switch (0.0347); whistle (0.0329); digital clock (0.0285); spatula (0.0281); mortar (0.0262); soap dispenser (0.0254); vase (0.0228); lampshade (0.0227); can opener (0.0186); screw (0.0182); analog clock (0.0158); nail (0.0149); frying pan (0.0111); toilet tissue (0.0109); toilet seat (0.0103); measuring cup (0.0100); Band Aid (0.0095),frying pan (0.0111); toilet tissue (0.0109); toilet seat (0.0103); measuring cup (0.0100); Band Aid (0.0095); hammer (0.0093); lighter (0.0092); dumbbell (0.0076); nipple (0.0073); screwdriver (0.0071),purse (0.0001); agaric (0.0001); spiny lobster (0.0001); crate (0.0001); mosquito net (0.0001); hot pot (0.0001); four-poster (0.0001); bakery (0.0001); dogsled (0.0001); china cabinet (0.0001); space bar (0.0001); mountain bike (0.0001); go-kart (0.0001); bobsled (0.0001); shopping basket (0.0001); bookshop (0.0001); head cabbage (0.0001); overskirt (0.0001); crib (0.0001); pickelhaube (0.0001)
2,2500,2500.00,0.3301,0.5479,0.5064,0.5886,0.4330,0.4868,0.5392,0.6886,0.5265,0.6139,0.4174,0.3110,0.3485,0.2340,0.2169,0.3833,0.3628,0.4421,0.6111,0.2135,0.4422,0.3945,0.6637,0.2700,0.0293,0.3199,0.6059,0.5822,0.6718,0.4174,0.3110,0.3485,0.2340,0.2169,0.3833,0.3628,0.4421,0.6569,0.0433,0.4462,0.3246,0.3854,0.2720,0.4461,0.4828,0.5548,0.5542,0.5494,0.4174,0.3110,0.3485,0.2340,0.2169,0.3833,0.3628,0.4421,0.4114,lampshade (0.2053); spotlight (0.1327); ping-pong ball (0.0952); toilet tissue (0.0759); washbasin (0.0680); loudspeaker (0.0283); table lamp (0.0246); mortar (0.0192); paper towel (0.0131); dumbbell (0.0128); toilet seat (0.0101); cowboy hat (0.0055); electric fan (0.0053); golf ball (0.0052); soap dispenser (0.0049); cup (0.0042); balloon (0.0040); pinwheel (0.0038); carton (0.0035); hook (0.0034),lampshade (0.2053); spotlight (0.1327); ping-pong ball (0.0952); toilet tissue (0.0759); washbasin (0.0680); loudspeaker (0.0283); table lamp (0.0246); mortar (0.0192),Dungeness crab (0.0001); academic gown (0.0001); muzzle (0.0001); bookshop (0.0001); hot pot (0.0001); shoe shop (0.0001); crib (0.0001); cassette player (0.0001); pier (0.0001); oscilloscope (0.0001); pencil box (0.0001); refrigerator (0.0001); sweatshirt (0.0001); china cabinet (0.0001); snorkel (0.0001); head cabbage (0.0001); Dutch oven (0.0001); pickelhaube (0.0001); bobsled (0.0001); backpack (0.0001)
3,2500,2500.00,0.2976,0.6161,0.5539,0.6077,0.4453,0.6407,0.6031,0.6998,0.6561,0.7220,0.3419,0.2334,0.2367,0.2056,0.2347,0.2920,0.1792,0.4432,0.6918,0.1774,0.4533,0.5213,0.6305,0.3392,0.0773,0.3149,0.4709,0.6458,0.6269,0.3419,0.2334,0.2367,0.2056,0.2347,0.2920,0.1792,0.4432,0.4537,0.0535,0.4880,0.4370,0.4497,0.2383,0.5165,0.4207,0.5857,0.6476,0.6087,0.3419,0.2334,0.2367,0.2056,0.2347,0.2920,0.1792,0.4432,0.4267,toilet tissue (0.1713); toilet seat (0.0907); lampshade (0.0630); loudspeaker (0.0469); paper towel (0.0413); spotlight (0.0381); washbasin (0.0345); hook (0.0260); pitcher (0.0246); cup (0.0197); table lamp (0.0169); mask (0.0163); vase (0.0140); teapot (0.0134); nail (0.0111); cowboy hat (0.0109); ladle (0.0092); coffee mug (0.0082); rocking chair (0.0070); water jug (0.0065),lampshade (0.0630); loudspeaker (0.0469); paper towel (0.0413); spotlight (0.0381); washbasin (0.0345); hook (0.0260); pitcher (0.0246); cup (0.0197); table lamp (0.0169); mask (0.0163),waffle iron (0.0001); grocery store (0.0001); bulbul (0.0001); moving van (0.0001); rotisserie (0.0001); zucchini (0.0001); terrapin (0.0001); backpack (0.0001); shoe shop (0.0001); fireboat (0.0001); French loaf (0.0001); pop bottle (0.0001); apiary (0.0001); space bar (0.0001); hot pot (0.0001); Dutch oven (0.0001); pickelhaube (0.0001); sleeping bag (0.0001); head cabbage (0.0001); bobsled (0.0001)
4,2500,2500.00,0.2966,0.4893,0.4491,0.4645,0.3381,0.4716,0.5489,0.5586,0.5374,0.5465,0.4839,0.2501,0.1978,0.1484,0.2015,0.2422,0.2809,0.3907,0.5114,0.1333,0.3159,0.3378,0.2126,0.0480,0.0642,0.4394,0.3849,0.5043,0.5359,0.4839,0.2501,0.1978,0.1484,0.2015,0.2422,0.2809,0.3907,0.3021,0.0484,0.4171,0.4007,0.2433,0.2645,0.4431,0.3816,0.5361,0.5551,0.5127,0.4839,0.2501,0.1978,0.1484,0.2015,0.2422,0.2809,0.3907,0.3601,ping-pong ball (0.1222); spotlight (0.1162); maraca (0.0651); lampshade (0.0598); mortar (0.0379); pick (0.0241); loudspeaker (0.0240); spatula (0.0195); ladle (0.0182); pinwheel (0.0175); wooden spoon (0.0175); table lamp (0.0137); goblet (0.0105); cup (0.0097); toilet tissue (0.0089); paintbrush (0.0088); electric fan (0.0088); cowboy hat (0.0075); letter opener (0.0073); can opener (0.0072),mortar (0.0379); pick (0.0241); loudspeaker (0.0240); spatula (0.0195); ladle (0.0182); pinwheel (0.0175); wooden spoon (0.0175); table lamp (0.0137); goblet (0.0105); cup (0.0097),sleeping bag (0.0001); holster (0.0001); recreational vehicle (0.0001); breakwater (0.0001); pickelhaube (0.0001); Great Pyrenees (0.0001); shopping cart (0.0001); go-kart (0.0001); shoe shop (0.0001); apiary (0.0001); pay-phone (0.0001); muzzle (0.0001); snorkel (0.0001); oxygen mask (0.0001); shopping basket (0.0001); barrow (0.0001); mailbag (0.0001); slide rule (0.0001); bobsled (0.0001); backpack (0.0001)
5,2500,2500.00,0.2524,0.4948,0.4783,0.4862,0.4015,0.5488,0.6049,0.4522,0.4903,0.4958,0.2788,0.2697,0.1729,0.1615,0.2313,0.2333,0.2149,0.3775,0.4860,0.1264,0.3038,0.4253,0.4141,0.0744,0.0531,0.2814,0.3281,0.3336,0.5201,0.2788,0.2697,0.1729,0.1615,0.2313,0.2333,0.2149,0.3775,0.2637,0.0507,0.4596,0.4821,0.2654,0.3119,0.4456,0.4634,0.5422,0.6027,0.5633,0.2788,0.2697,0.1729,0.1615,0.2313,0.2333,0.2149,0.3775,0.4035,toilet seat (0.1344); spotlight (0.0902); mortar (0.0463); toilet tissue (0.0270); can opener (0.0264); letter opener (0.0237); lampshade (0.0225); hook (0.0224); paper towel (0.0218); iron (0.0179); loudspeaker (0.0177); cleaver (0.0170); corkscrew (0.0161); cup (0.0151); quill (0.0147); lipstick (0.0122); projectile (0.0085); spatula (0.0084); cowboy hat (0.0081); washbasin (0.0076),iron (0.0179); loudspeaker (0.0177); cleaver (0.0170); corkscrew (0.0161); cup (0.0151); quill (0.0147); lipstick (0.0122); projectile (0.0085); spatula (0.0084); cowboy hat (0.0081),ground beetle (0.0001); thresher (0.0001); go-kart (0.0001); passenger car (0.0001); moving van (0.0001); violin (0.0001); cassette player (0.0001); bearskin (0.0001); shopping cart (0.0001); shoe shop (0.0001); crib (0.0001); crate (0.0001); hot pot (0.0001); moped (0.0001); sleeping bag (0.0001); banjo (0.0001); holster (0.0001); muzzle (0.0001); pickelhaube (0.0001); shopping basket (0.0001)
6,16,16.00,0.2543,0.5580,0.5395,0.6883,0.5616,0.4953,0.5358,0.5935,0.4540,0.5960,0.2506,0.4568,0.1767,0.1501,0.1285,0.4153,0.1914,0.2493,0.5136,0.0862,0.3066,0.1804,0.6485,0.1379,0.0746,0.1825,0.4786,0.2083,0.5421,0.2506,0.4568,0.1767,0.1501,0.1285,0.4153,0.1914,0.2493,0.2200,0.0542,0.5142,0.4508,0.3958,0.4587,0.5358,0.4968,0.6716,0.4876,0.6161,0.2506,0.4568,0.1767,0.1501,0.1285,0.4153,0.1914,0.2493,0.5734,washbasin (0.1243); joystick (0.0654); vase (0.0611); soap dispenser (0.0481); loudspeaker (0.0268); paper towel (0.0254); switch (0.0230); lampshade (0.0197); mortar (0.0195); toilet tissue (0.0192); pedestal (0.0186); carton (0.0183); table lamp (0.0141); pencil sharpener (0.0113); digital clock (0.0106); perfume (0.0104); nail (0.0092); pitcher (0.0090); candle (0.0090); spotlight (0.0081),toilet tissue (0.0192); pedestal (0.0186); carton (0.0183); table lamp (0.0141); pencil sharpener (0.0113); digital clock (0.0106); perfume (0.0104); nail (0.0092); pitcher (0.0090); candle (0.0090),palace (0.0001); groom (0.0001); bow (0.0001); rifle (0.0001); holster (0.0001); motor scooter (0.0001); Loafer (0.0001); military uniform (0.0001); sleeping bag (0.0001); sandal (0.0001); bobsled (0.0001); oxygen mask (0.0001); pajama (0.0001); waffle iron (0.0001); tricycle (0.0001); gas pump (0.0001); space bar (0.0001); muzzle (0.0001); bonnet (0.0001); backpack (0.0001)
7,16,16.00,0.3700,0.5685,0.5635,0.5080,0.5042,0.5579,0.5782,0.6786,0.5489,0.6083,0.2355,0.2485,0.3158,0.1842,0.2284,0.3330,0.1698,0.2427,0.6109,0.3018,0.4064,0.2725,0.2819,0.5698,0.0818,0.4361,0.6133,0.3605,0.6357,0.2355,0.2485,0.3158,0.1842,0.2284,0.3330,0.1698,0.2427,0.4684,0.0401,0.4083,0.2997,0.3200,0.2439,0.4049,0.3590,0.6542,0.5277,0.4570,0.2355,0.2485,0.3158,0.1842,0.2284,0.3330,0.1698,0.2427,0.4237,cup (0.1688); coffee mug (0.1264); toilet seat (0.0825); pitcher (0.0709); toilet tissue (0.0665); teapot (0.0299); coil (0.0279); hook (0.0264); spotlight (0.0180); lampshade (0.0162); water jug (0.0156); buckle (0.0134); coffeepot (0.0108); paper towel (0.0094); mortar (0.0075); mask (0.0061); thimble (0.0055); washbasin (0.0053); car wheel (0.0047); vase (0.0044),cup (0.1688); coffee mug (0.1264); toilet seat (0.0825); pitcher (0.0709); toilet tissue (0.0665); teapot (0.0299); coil (0.0279); hook (0.0264); spotlight (0.0180),bullet train (0.0001); garter snake (0.0001); space bar (0.0001); recreational vehicle (0.0001); apiary (0.0001); French loaf (0.0001); zucchini (0.0001); Loafer (0.0001); moving van (0.0001); backpack (0.0001); motor scooter (0.0001); ballplayer (0.0001); bobsled (0.0001); agaric (0.0001); pickelhaube (0.0001); bearskin (0.0001); mosquito net (0.0001); sleeping bag (0.0001); shoe shop (0.0001); pencil box (0.0001)
8,2500,2500.00,0.3286,0.6003,0.6302,0.5877,0.4515,0.5314,0.5586,0.7997,0.5672,0.6757,0.4957,0.2945,0.3509,0.2182,0.3395,0.4418,0.3611,0.4264,0.5951,0.1897,0.4497,0.4693,0.2974,0.3648,0.0307,0.5391,0.6233,0.6356,0.6372,0.4957,0.2945,0.3509,0.2182,0.3395,0.4418,0.3611,0.4264,0.6795,0.0492,0.5309,0.4212,0.4549,0.3205,0.5087,0.4175,0.7959,0.5941,0.7340,0.4957,0.2945,0.3509,0.2182,0.3395,0.4418,0.3611,0.4264,0.4651,soap dispenser (0.1649); lampshade (0.1202); vase (0.0775); toilet tissue (0.0738); toilet seat (0.0690); spotlight (0.0631); dumbbell (0.0469); perfume (0.0256); lotion (0.0100); paper towel (0.0096); pitcher (0.0093); loudspeaker (0.0090); washbasin (0.0088); pill bottle (0.0079); table lamp (0.0065); water jug (0.0047); screw (0.0043); mortar (0.0038); cup (0.0038); teapot (0.0036),soap dispenser (0.1649); lampshade (0.1202); vase (0.0775); toilet tissue (0.0738); toilet seat (0.0690); spotlight (0.0631); dumbbell (0.0469); perfume (0.0256); lotion (0.0100),bookshop (0.0001); running shoe (0.0001); four-poster (0.0001); crib (0.0001); sleeping bag (0.0001); waffle iron (0.0001); beer bottle (0.0001); agaric (0.0001); refrigerator (0.0001); pencil box (0.0001); gas pump (0.0001); swab (0.0001); wallet (0.0001); shoe shop (0.0001); shopping basket (0.0001); pajama (0.0001); Loafer (0.0001); china cabinet (0.0001); space bar (0.0001); bobsled (0.0001)
9,2500,2500.00,0.3746,0.4556,0.4581,0.4054,0.4458,0.4174,0.4726,0.4730,0.4109,0.5613,0.2848,0.3031,0.3538,0.1892,0.2135,0.3156,0.1988,0.3237,0.5093,0.1922,0.3066,0.4150,0.2953,0.3016,0.0634,0.2903,0.3156,0.3019,0.4694,0.2848,0.3031,0.3538,0.1892,0.2135,0.3156,0.1988,0.3237,0.3932,0.0533,0.3497,0.3865,0.1694,0.1913,0.3943,0.4008,0.3681,0.3704,0.5164,0.2848,0.3031,0.3538,0.1892,0.2135,0.3156,0.1988,0.3237,0.3297,vase (0.1765); washbasin (0.0807); lampshade (0.0699); cup (0.0417); joystick (0.0345); toilet tissue (0.0323); toilet seat (0.0266); table lamp (0.0264); goblet (0.0252); paper towel (0.0233); mortar (0.0165); umbrella (0.0152); spotlight (0.0145); pitcher (0.0140); soap dispenser (0.0133); plunger (0.0126); hook (0.0117); nail (0.0099); water jug (0.0086); coffee mug (0.0083),cup (0.0417); joystick (0.0345); toilet tissue (0.0323); toilet seat (0.0266); table lamp (0.0264); goblet (0.0252); paper towel (0.0233); mortar (0.0165); umbrella (0.0152); spotlight (0.0145),apiary (0.0001); pajama (0.0001); space bar (0.0001); shopping cart (0.0001); zucchini (0.0001); oscilloscope (0.0001); shopping basket (0.0001); pay-phone (0.0001); waffle iron (0.0001); bobsled (0.0001); oxygen mask (0.0001); muzzle (0.0001); cassette player (0.0001); rotisserie (0.0001); backpack (0.0001); hot pot (0.0001); gas pump (0.0001); pencil box (0.0001); mailbag (0.0001); crib (0.0001)
10,16,16.00,0.2573,0.5481,0.5580,0.6290,0.4449,0.5525,0.5069,0.5069,0.5744,0.6121,0.2986,0.2008,0.1961,0.1513,0.3499,0.2834,0.3126,0.3691,0.5651,0.1022,0.3178,0.3496,0.3635,0.0640,0.0809,0.1474,0.3523,0.6427,0.5419,0.2986,0.2008,0.1961,0.1513,0.3499,0.2834,0.3126,0.3691,0.2161,0.0412,0.4785,0.4984,0.2833,0.2416,0.5714,0.4281,0.6545,0.5802,0.5702,0.2986,0.2008,0.1961,0.1513,0.3499,0.2834,0.3126,0.3691,0.4325,spotlight (0.1133); pill bottle (0.0556); electric fan (0.0469); toilet seat (0.0448); mortar (0.0399); toilet tissue (0.0381); cup (0.0381); lampshade (0.0324); hook (0.0202); pitcher (0.0192); nail (0.0134); paper towel (0.0133); nipple (0.0112); pick (0.0108); coffee mug (0.0107); dumbbell (0.0104); soap dispenser (0.0090); corkscrew (0.0087); quill (0.0083); perfume (0.0082),pitcher (0.0192); nail (0.0134); paper towel (0.0133); nipple (0.0112); pick (0.0108); coffee mug (0.0107); dumbbell (0.0104); soap dispenser (0.0090); corkscrew (0.0087); quill (0.0083),Walker hound (0.0001); moped (0.0001); ground beetle (0.0001); slide rule (0.0001); crate (0.0001); barrow (0.0001); Appenzeller (0.0001); boxer (0.0001); agaric (0.0001); racer (0.0001); go-kart (0.0001); gown (0.0001); china cabinet (0.0001); shopping basket (0.0001); swimming trunks (0.0001); mountain bike (0.0001); potter's wheel (0.0001); muzzle (0.0001); hot pot (0.0001); pickelhaube (0.0001)
11,2500,2500.00,0.3251,0.5391,0.4611,0.5031,0.5397,0.5112,0.5515,0.6200,0.4681,0.6579,0.3323,0.3352,0.2383,0.1997,0.1848,0.3720,0.3012,0.2924,0.6044,0.1350,0.3259,0.3910,0.2962,0.3844,0.0450,0.1180,0.4648,0.4543,0.4532,0.3323,0.3352,0.2383,0.1997,0.1848,0.3720,0.3012,0.2924,0.4027,0.0350,0.4241,0.3809,0.3526,0.3494,0.3863,0.3062,0.5113,0.5277,0.5781,0.3323,0.3352,0.2383,0.1997,0.1848,0.3720,0.3012,0.2924,0.3764,teapot (0.1194); soap dispenser (0.0595); spotlight (0.0557); maraca (0.0544); plunger (0.0516); lampshade (0.0508); pitcher (0.0313); water jug (0.0250); hook (0.0247); mortar (0.0245); ladle (0.0237); toilet tissue (0.0227); dumbbell (0.0199); ping-pong ball (0.0197); coffeepot (0.0144); spatula (0.0144); table lamp (0.0120); electric fan (0.0111); analog clock (0.0101); microphone (0.0070),lampshade (0.0508); pitcher (0.0313); water jug (0.0250); hook (0.0247); mortar (0.0245); ladle (0.0237); toilet tissue (0.0227); dumbbell (0.0199); ping-pong ball (0.0197); coffeepot (0.0144),toy terrier (0.0001); Bouvier des Flandres (0.0001); mountain bike (0.0001); bikini (0.0001); grey whale (0.0001); sweatshirt (0.0001); hot pot (0.0001); mailbag (0.0001); pickelhaube (0.0001); potpie (0.0001); apiary (0.0001); pencil box (0.0001); space bar (0.0001); typewriter keyboard (0.0001); bookshop (0.0001); Loafer (0.0001); bearskin (0.0001); pay-phone (0.0001); muzzle (0.0001); crib (0.0001)
12,2500,2500.00,0.3940,0.6618,0.5680,0.6617,0.5724,0.6354,0.5955,0.8276,0.7414,0.6924,0.4378,0.3783,0.3075,0.2174,0.2509,0.3004,0.4008,0.3779,0.7118,0.2125,0.4541,0.4691,0.5238,0.4276,0.0364,0.3497,0.6567,0.6545,0.5151,0.4378,0.3783,0.3075,0.2174,0.2509,0.3004,0.4008,0.3779,0.6191,0.0392,0.4859,0.3750,0.3352,0.3047,0.5361,0.3865,0.7130,0.6047,0.6320,0.4378,0.3783,0.3075,0.2174,0.2509,0.3004,0.4008,0.3779,0.4724,teapot (0.1335); soap dispenser (0.1236); lampshade (0.1058); spotlight (0.1055); pitcher (0.0665); toilet tissue (0.0444); coffeepot (0.0261); toilet seat (0.0236); vase (0.0207); cup (0.0201); water jug (0.0124); perfume (0.0111); coffee mug (0.0110); whistle (0.0104); mortar (0.0098); pill bottle (0.0072); lotion (0.0068); dumbbell (0.0066); switch (0.0057); paper towel (0.0051),teapot (0.1335); soap dispenser (0.1236); lampshade (0.1058); spotlight (0.1055); pitcher (0.0665); toilet tissue (0.0444); coffeepot (0.0261); toilet seat (0.0236); vase (0.0207),crate (0.0001); swab (0.0001); sandal (0.0001); china cabinet (0.0001); running shoe (0.0001); dugong (0.0001); beer bottle (0.0001); waffle iron (0.0001); sleeping bag (0.0001); gas pump (0.0001); refrigerator (0.0001); bobsled (0.0001); pencil box (0.0001); shopping basket (0.0001); pajama (0.0001); swimming trunks (0.0001); Loafer (0.0001); shoe shop (0.0001); wallet (0.0001); space bar (0.0001)
13,2500,2500.00,0.2723,0.3739,0.3629,0.3351,0.2559,0.3589,0.4115,0.4234,0.4123,0.4314,0.3740,0.1844,0.2238,0.1949,0.2265,0.3692,0.3458,0.4168,0.4230,0.1019,0.2421,0.3237,0.1332,0.0386,0.0180,0.2376,0.3194,0.3581,0.5083,0.3740,0.1844,0.2238,0.1949,0.2265,0.3692,0.3458,0.4168,0.2652,0.0479,0.2944,0.2335,0.1425,0.1710,0.3008,0.2816,0.3864,0.4753,0.3637,0.3740,0.1844,0.2238,0.1949,0.2265,0.3692,0.3458,0.4168,0.2911,spotlight (0.0888); toilet tissue (0.0796); washbasin (0.0724); mortar (0.0687); toilet seat (0.0392); lampshade (0.0362); ping-pong ball (0.0317); paper towel (0.0268); hook (0.0157); table lamp (0.0138); cowboy hat (0.0125); umbrella (0.0124); loudspeaker (0.0088); ladle (0.0085); soap dispenser (0.0080); cleaver (0.0078); cup (0.0074); iPod (0.0074); mask (0.0067); rubber eraser (0.0067),paper towel (0.0268); hook (0.0157); table lamp (0.0138); cowboy hat (0.0125); umbrella (0.0124); loudspeaker (0.0088); ladle (0.0085); soap dispenser (0.0080); cleaver (0.0078); cup (0.0074),cassette player (0.0001); sleeping bag (0.0001); pencil box (0.0001); mosquito net (0.0001); beach wagon (0.0001); motor scooter (0.0001); pajama (0.0001); Great Pyrenees (0.0001); head cabbage (0.0001); china cabinet (0.0001); moving van (0.0001); thresher (0.0001); pickelhaube (0.0001); oxygen mask (0.0001); hot pot (0.0001); rotisserie (0.0001); muzzle (0.0001); backpack (0.0001); mailbag (0.0001); shopping basket (0.0001)
14,2500,2500.00,0.2326,0.3442,0.3183,0.3682,0.2587,0.3305,0.4559,0.3368,0.3511,0.3343,0.3031,0.2621,0.2390,0.1725,0.2048,0.2724,0.2459,0.2809,0.3910,0.1071,0.1883,0.2828,0.1601,0.0977,0.0483,0.2539,0.1499,0.2535,0.2599,0.3031,0.2621,0.2390,0.1725,0.2048,0.2724,0.2459,0.2809,0.1475,0.0468,0.2882,0.2889,0.2248,0.1342,0.2804,0.2539,0.4782,0.3545,0.2907,0.3031,0.2621,0.2390,0.1725,0.2048,0.2724,0.2459,0.2809,0.2254,lampshade (0.0655); spotlight (0.0636); soap dispenser (0.0520); washbasin (0.0475); toilet seat (0.0453); cup (0.0307); hammerhead (0.0271); hook (0.0259); toilet tissue (0.0244); hatchet (0.0206); table lamp (0.0179); digital clock (0.0120); coffee mug (0.0114); wing (0.0100); can opener (0.0091); birdhouse (0.0090); umbrella (0.0087); pill bottle (0.0086); letter opener (0.0085); switch (0.0080),can opener (0.0091); birdhouse (0.0090); umbrella (0.0087); pill bottle (0.0086); letter opener (0.0085); switch (0.0080); mortarboard (0.0073); carton (0.0072); hair slide (0.0071); paper towel (0.0069),Pembroke (0.0001); rotisserie (0.0001); hand-held computer (0.0001); space bar (0.0001); head cabbage (0.0001); snowplow (0.0001); black and gold garden spider (0.0001); bookshop (0.0001); German short-haired pointer (0.0001); pajama (0.0001); papillon (0.0001); fireboat (0.0001); Rhodesian ridgeback (0.0001); trolleybus (0.0001); lawn mower (0.0001); shopping basket (0.0001); dogsled (0.0001); hot pot (0.0001); bobsled (0.0001); go-kart (0.0001)
